"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","LA POSTE","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","LA POSTE","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","COMMUNE D'ORLÉANS","sur place","45","ORLÉANS","FRANCE","Collectivités territoriales",""
"RGPD","GIE CENTRE COMMERCIAL LONGCHAMPS ","sur place","35","RENNES","FRANCE","Commerce",""
"RGPD","DÉPARTEMENT DU NORD","sur audition","59","LILLE","FRANCE","Collectivités territoriales",""
"RGPD","SOCULTUR ","en ligne","33","MÉRIGNAC","FRANCE","Commerce",""
"RGPD","SOCULTUR  ","sur place","33","MÉRIGNAC","FRANCE","Commerce",""
"RGPD","SOCULTUR  ","sur place","33","MÉRIGNAC","FRANCE","Commerce",""
"RGPD","SOCULTUR  ","en ligne","33","MÉRIGNAC","FRANCE","Commerce",""
"RGPD","DIGITAL SQUAD","en ligne","69","LYON","FRANCE","Commerce",""
"RGPD","DIGITAL SQUAD","sur place","69","LYON","FRANCE","Commerce",""
"RGPD","DIGITAL SQUAD","sur place","69","LYON","FRANCE","Commerce",""
"RGPD","THOM","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","THOM","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","MISTER AUTO","en ligne","69","VILLEURBANNE","FRANCE","Commerce",""
"RGPD","MISTER AUTO","sur place","69","VILLEURBANNE","FRANCE","Commerce",""
"RGPD","MICROSOFT IRELAND OPERATIONS LIMITED","en ligne","","DUBLIN","IRELAND","Commerce",""
"RGPD","MICROSOFT IRELAND OPERATIONS LIMITED","sur place","92","ISSY-LES-MOULINEAUX","FRANCE","Commerce",""
"RGPD","PIGMA","sur place","33","POMPIGNAC","FRANCE","Commerce",""
"RGPD","lifeclubapp.fr","en ligne","13","MARSEILLE","FRANCE","Sport",""
"RGPD","LA POSTE ","sur place","62","CALAIS","FRANCE","Commerce",""
"RGPD","GROUPE BLACK TIGER","sur audition","75","PARIS","FRANCE","Commerce",""
"RGPD","OPENDOO","en ligne","34","SAINT-GELY-DU-FESC","FRANCE","Commerce",""
"RGPD","OPENDOO","sur audition","34","SAINT-GELY-DU-FESC","FRANCE","Commerce",""
"RGPD","ARKÉA DIRECT BANK","sur place","92","PUTEAUX","FRANCE","Banque",""
"RGPD","AXA BANQUE","sur place","94","FONTENAY-SOUS-BOIS","FRANCE","Banque",""
"RGPD","BOURSORAMA BANQUE","sur place","92","BOULOGNE-BILLANCOURT","FRANCE","Banque",""
"RGPD","BNP PARIBAS","sur place","75","PARIS","FRANCE","Banque",""
"RGPD","CASH FLOW POSITIF","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","CASH FLOW POSITIF","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","UNIVERSITÉ D'ÉVRY VAL D'ESSONNE","sur audition","91","ÉVRY COURCOURONNES","FRANCE","Éducation",""
"RGPD","NORDCALL","sur place","59","MARCQ-EN-BAROEUIL","FRANCE","Commerce",""
"RGPD","GROUPE LEXIMPACT","en ligne","69","LYON","FRANCE","Immobilier",""
"RGPD","GROUPE LEXIMPACT","sur place","69","LYON","FRANCE","Immobilier",""
